trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
4: place_key_mir_0_0_0, -0.09405483, 0.8449092, 0.07228777, 0, -0.06141264, -0.01164989, 0.01892207, 0.9978652, 0.41, 0.0894701, 0.8496076, 0.06685954, 0.04, -0.04351978, -0.04364859, -0.06336406, 0.9960853, 0.5, 5.45636, 0.2375
4: place_key_mir_0_0_0, -0.09461132, 0.8471688, 0.07249898, 0.04, -0.06276465, -0.01362135, 0.02135425, 0.997707, 0.4, 0.08965567, 0.8522165, 0.06672364, 0.08, -0.04713501, -0.04226019, -0.06173432, 0.9960831, 0.49, 5.470746, 0.2525
4: place_key_mir_0_0_0, -0.09507999, 0.8493229, 0.07261112, 0.08, -0.06442883, -0.01560468, 0.02364144, 0.9975202, 0.4, 0.08973016, 0.8546314, 0.06656244, 0.12, -0.04944843, -0.04226146, -0.06126166, 0.9960001, 0.48, 5.484569, 0.27
4: place_key_mir_0_0_0, -0.09540285, 0.8513737, 0.07259157, 0.1, -0.06628297, -0.01585447, 0.02593558, 0.9973379, 0.4, 0.08974181, 0.8568338, 0.06637114, 0.15, -0.05093943, -0.04303814, -0.0619263, 0.9958504, 0.48, 5.498747, 0.2825
4: place_key_mir_0_0_0, -0.09562156, 0.8533155, 0.07246631, 0.11, -0.06774853, -0.01480057, 0.02818073, 0.9971946, 0.4, 0.08976515, 0.8590453, 0.06603789, 0.16, -0.05342697, -0.04312294, -0.06260487, 0.995674, 0.48, 5.512453, 0.2875
4: place_key_mir_0_0_0, -0.09582915, 0.8552194, 0.07228678, 0.15, -0.0693384, -0.01443532, 0.03021721, 0.997031, 0.4, 0.08977172, 0.8612984, 0.06550503, 0.19, -0.05811817, -0.04350475, -0.06311727, 0.9953623, 0.47, 5.526304, 0.3025
4: place_key_mir_0_0_0, -0.09592886, 0.8570526, 0.07196528, 0.1, -0.07206436, -0.01504436, 0.03135936, 0.9967934, 0.41, 0.08972714, 0.8634099, 0.06494543, 0.16, -0.06201637, -0.04422585, -0.06297439, 0.9951043, 0.49, 5.540136, 0.29
4: place_key_mir_0_0_0, -0.09599353, 0.8588951, 0.07149109, 0.12, -0.0766454, -0.01646554, 0.03146511, 0.9964259, 0.4, 0.08962341, 0.8652674, 0.06443006, 0.18, -0.06478423, -0.04492395, -0.06214285, 0.994949, 0.48, 5.553843, 0.295
4: place_key_mir_0_0_0, -0.09597371, 0.8606409, 0.0709247, 0.13, -0.08169141, -0.01658184, 0.03154923, 0.9960203, 0.39, 0.08963048, 0.8669485, 0.06401783, 0.19, -0.06635194, -0.04571507, -0.06314994, 0.9947461, 0.48, 5.567811, 0.2975
4: place_key_mir_0_0_0, -0.09573062, 0.8621272, 0.07026315, 0.12, -0.08607407, -0.01450083, 0.0312334, 0.9956937, 0.39, 0.08980625, 0.8685632, 0.06365713, 0.17, -0.06910693, -0.04598312, -0.06579018, 0.994375, 0.48, 5.581659, 0.29
4: place_key_mir_0_0_0, -0.09552336, 0.8635484, 0.0698393, 0.11, -0.08915422, -0.01343777, 0.03135031, 0.9954338, 0.38, 0.09003288, 0.8701128, 0.06331983, 0.16, -0.07174633, -0.04533539, -0.06834296, 0.9940456, 0.48, 5.595349, 0.2825
4: place_key_mir_0_0_0, -0.09548099, 0.8651004, 0.06953478, 0.05, -0.09326776, -0.01493513, 0.03236011, 0.9950031, 0.38, 0.09020857, 0.8713751, 0.06311497, 0.1, -0.07299123, -0.04395213, -0.07015596, 0.9938906, 0.48, 5.609312, 0.2525
4: place_key_mir_0_0_0, -0.09552157, 0.8666299, 0.06927913, 0.05, -0.09664129, -0.01679434, 0.0340502, 0.994595, 0.38, 0.09021582, 0.8724031, 0.06299558, 0.09, -0.07322714, -0.04310157, -0.07112468, 0.9938418, 0.48, 5.623192, 0.25
4: place_key_mir_0_0_0, -0.09558228, 0.8679683, 0.06902963, 0.03, -0.09885371, -0.0172902, 0.03552384, 0.9943174, 0.38, 0.09008766, 0.8733554, 0.06288514, 0.06, -0.07364499, -0.04297178, -0.07101868, 0.9938241, 0.48, 5.637133, 0.2375
4: place_key_mir_0_0_0, -0.09545429, 0.870167, 0.06893414, 0.02, -0.1009938, -0.01830534, 0.03643498, 0.9940512, 0.38, 0.08994865, 0.8743166, 0.06263596, 0.02, -0.07526846, -0.04194057, -0.07052381, 0.9937818, 0.49, 5.664509, 0.2275
4: place_key_mir_0_0_0, -0.09486949, 0.8731146, 0.06888074, 0.01, -0.1044753, -0.02068487, 0.03197196, 0.9937984, 0.39, 0.08850164, 0.8793416, 0.06122434, 0.01, -0.0808536, -0.03783207, -0.06335923, 0.9939906, 0.49, 5.705859, 0.225
4: place_key_mir_0_0_0, -0.09461554, 0.8774827, 0.0680311, 0.01, -0.1148455, -0.03042, 0.01892964, 0.9927372, 0.37, 0.08738661, 0.8872357, 0.05869371, 0.01, -0.08821943, -0.04425745, -0.06310406, 0.9931146, 0.49, 5.747641, 0.22
4: place_key_mir_0_0_0, -0.09395756, 0.8832402, 0.0655441, 0.01, -0.1392707, -0.03623198, -0.002211013, 0.9895889, 0.28, 0.08753675, 0.8946375, 0.05658701, 0.01, -0.1025978, -0.04701053, -0.06501426, 0.9914823, 0.45, 5.775593, 0.1875
4: place_key_mir_0_0_0, -0.09342501, 0.8894318, 0.06272161, 0, -0.1492496, -0.03171909, 0.001217814, 0.98829, 0.26, 0.08784106, 0.9035179, 0.05541569, 0.01, -0.1114407, -0.0494932, -0.06993213, 0.9900712, 0.41, 5.803309, 0.17
4: place_key_mir_0_0_0, -0.09333964, 0.8953086, 0.06078395, 0, -0.1497696, -0.02452045, 0.0168087, 0.9882739, 0.26, 0.08806913, 0.9109657, 0.05591547, 0.01, -0.1187418, -0.05116515, -0.07046595, 0.9890993, 0.37, 5.830998, 0.16
4: place_key_mir_0_0_0, -0.09227461, 0.9069994, 0.05841461, 0, -0.1584892, -0.02264256, 0.02215491, 0.9868525, 0.24, 0.08814128, 0.9125308, 0.0580672, 0.02, -0.1128771, -0.04327141, -0.05858642, 0.9909361, 0.38, 5.900606, 0.16
4: place_key_mir_0_0_0, -0.0909584, 0.9161984, 0.06127828, 0.01, -0.1549542, -0.02256063, 0.02301897, 0.9873959, 0.24, 0.08899601, 0.9145681, 0.06076628, 0.01, -0.1092536, -0.03439383, -0.0527568, 0.992017, 0.37, 5.998297, 0.1575
4: place_key_mir_0_0_0, -0.09094925, 0.9165169, 0.06222481, 0.01, -0.1481336, -0.02137376, 0.02585241, 0.9883985, 0.24, 0.08924755, 0.9151738, 0.06135914, 0, -0.1080343, -0.03576101, -0.05420165, 0.9920243, 0.36, 6.012091, 0.1525
4: place_key_mir_0_0_0, -0.09109099, 0.9166945, 0.06299144, 0.01, -0.1415537, -0.02021885, 0.03053954, 0.989253, 0.25, 0.08963936, 0.9158409, 0.06263402, 0.01, -0.1035555, -0.0401025, -0.05677049, 0.9921921, 0.36, 6.026036, 0.1575
4: place_key_mir_0_0_0, -0.0911561, 0.9169946, 0.06347516, 0.01, -0.1387001, -0.01969733, 0.03518078, 0.9895135, 0.25, 0.0898107, 0.9158663, 0.06336239, 0.02, -0.100509, -0.04172218, -0.05558611, 0.9925057, 0.38, 6.04027, 0.165
4: place_key_mir_0_0_0, -0.09106312, 0.9172379, 0.06377649, 0.03, -0.1369161, -0.0182863, 0.03821317, 0.9896765, 0.24, 0.08997191, 0.9155838, 0.0642359, 0.04, -0.0968603, -0.04259129, -0.05176443, 0.993038, 0.39, 6.05407, 0.175
