trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
10: offset_key_mir_0_1_0, -0.07586724, 0.8426544, 0.5839005, 0, 0.02580811, 0.09755989, 0.1201932, -0.9876081, 0.19, 0.09820676, 0.8446925, 0.5795391, 0.03, 0.02959448, 0.1548683, 0.04190655, 0.9866021, 0.29, 1.629157, 0.1275
10: offset_key_mir_0_1_0, -0.07608917, 0.8447034, 0.5845397, 0.04, 0.02697195, 0.09730095, 0.1188882, -0.9877604, 0.19, 0.09854888, 0.8468503, 0.5803566, 0.07, 0.02778113, 0.1566242, 0.04317424, 0.9863231, 0.28, 1.643354, 0.145
10: offset_key_mir_0_1_0, -0.07632372, 0.8467318, 0.5851583, 0.08, 0.02865456, 0.09790184, 0.1176231, -0.9878051, 0.19, 0.098851, 0.8490031, 0.5811484, 0.11, 0.02600054, 0.1580073, 0.04400192, 0.9861144, 0.28, 1.65712, 0.165
10: offset_key_mir_0_1_0, -0.07655911, 0.8486807, 0.585761, 0.12, 0.03048231, 0.09916212, 0.116978, -0.9877014, 0.18, 0.09910075, 0.8510919, 0.5819233, 0.14, 0.02442685, 0.1587102, 0.04441344, 0.9860233, 0.27, 1.671071, 0.1775
10: offset_key_mir_0_1_0, -0.07668936, 0.8504379, 0.5863222, 0.13, 0.0322572, 0.1002879, 0.1180779, -0.9874004, 0.18, 0.09934672, 0.8530912, 0.5826658, 0.15, 0.02332219, 0.1590749, 0.04421262, 0.9860002, 0.26, 1.684933, 0.18
10: offset_key_mir_0_1_0, -0.07673788, 0.8521554, 0.5868863, 0.17, 0.03353024, 0.1002295, 0.119971, -0.9871356, 0.17, 0.09960311, 0.8550267, 0.5833547, 0.19, 0.02196889, 0.1595926, 0.04379479, 0.9859664, 0.25, 1.698692, 0.195
10: offset_key_mir_0_1_0, -0.07674238, 0.8538311, 0.5874673, 0.13, 0.03479133, 0.09964173, 0.1224613, -0.9868457, 0.19, 0.09987713, 0.8569086, 0.5840703, 0.14, 0.02064876, 0.1603565, 0.04395827, 0.9858636, 0.25, 1.712453, 0.1775
10: offset_key_mir_0_1_0, -0.07683077, 0.8555527, 0.5880593, 0.17, 0.03643145, 0.09977423, 0.1240524, -0.9865744, 0.19, 0.1001123, 0.8587253, 0.5848438, 0.17, 0.02036807, 0.1615169, 0.04499794, 0.9856332, 0.24, 1.726451, 0.1925
10: offset_key_mir_0_1_0, -0.07701208, 0.8572946, 0.5886455, 0.19, 0.03829759, 0.1010469, 0.1244681, -0.9863217, 0.19, 0.1003409, 0.860509, 0.5855742, 0.18, 0.02025141, 0.1632644, 0.04611586, 0.985296, 0.24, 1.740335, 0.2
10: offset_key_mir_0_1_0, -0.07722387, 0.8589975, 0.5892477, 0.19, 0.03960632, 0.1019968, 0.1244616, -0.986173, 0.19, 0.1005599, 0.8623139, 0.5862502, 0.18, 0.01947057, 0.1642741, 0.04656167, 0.9851229, 0.23, 1.75416, 0.1975
10: offset_key_mir_0_1_0, -0.07737097, 0.8606431, 0.5898688, 0.19, 0.040849, 0.1023375, 0.1246908, -0.9860582, 0.19, 0.1006695, 0.8640461, 0.5868167, 0.19, 0.01821782, 0.1645502, 0.04639103, 0.9851087, 0.23, 1.76806, 0.2
10: offset_key_mir_0_1_0, -0.07740468, 0.8622355, 0.5905029, 0.16, 0.04203373, 0.1021928, 0.126391, -0.9858068, 0.19, 0.1007154, 0.8658286, 0.5873979, 0.15, 0.01634611, 0.1648438, 0.04680767, 0.9850729, 0.22, 1.782014, 0.18
10: offset_key_mir_0_1_0, -0.07734452, 0.8637298, 0.5911717, 0.17, 0.04326942, 0.1014145, 0.1292037, -0.9854692, 0.21, 0.1006132, 0.8675572, 0.5879273, 0.16, 0.01462884, 0.1647033, 0.04831026, 0.9850507, 0.23, 1.795806, 0.1925
10: offset_key_mir_0_1_0, -0.07727067, 0.8652008, 0.5918503, 0.16, 0.0444463, 0.1007787, 0.1327052, -0.9850165, 0.22, 0.1004416, 0.8691827, 0.5884356, 0.16, 0.01342551, 0.1644958, 0.05007997, 0.9850141, 0.23, 1.809837, 0.1925
10: offset_key_mir_0_1_0, -0.07728031, 0.866641, 0.5925375, 0.15, 0.04581744, 0.1003879, 0.1364855, -0.9844769, 0.24, 0.1003325, 0.8707876, 0.5889585, 0.15, 0.01197742, 0.1647579, 0.05107575, 0.984938, 0.25, 1.823788, 0.1975
10: offset_key_mir_0_1_0, -0.07748909, 0.8680673, 0.5932506, 0.12, 0.04723126, 0.1005112, 0.1394069, -0.9839881, 0.24, 0.1002614, 0.8722677, 0.5894137, 0.14, 0.01099277, 0.1653745, 0.05157037, 0.9848202, 0.26, 1.837605, 0.19
10: offset_key_mir_0_1_0, -0.07776521, 0.8695505, 0.5939608, 0.1, 0.04851967, 0.101313, 0.1416867, -0.9835173, 0.23, 0.1001597, 0.8737095, 0.5897445, 0.11, 0.0098394, 0.166244, 0.05198086, 0.9846645, 0.25, 1.851546, 0.1725
10: offset_key_mir_0_1_0, -0.07816179, 0.8711144, 0.594646, 0.1, 0.0503086, 0.1028286, 0.143779, -0.9829664, 0.21, 0.1000039, 0.8752527, 0.5900124, 0.09, 0.007879207, 0.1666159, 0.0526978, 0.9845812, 0.22, 1.865443, 0.155
10: offset_key_mir_0_1_0, -0.07855441, 0.8727256, 0.5952638, 0.11, 0.052385, 0.1046145, 0.1460787, -0.9823302, 0.21, 0.09974191, 0.8767991, 0.590175, 0.09, 0.005795251, 0.1664679, 0.05354732, 0.9845749, 0.22, 1.879321, 0.1575
