trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
2: place_cont_asyc_0_2_0, -0.073526, 0.8938938, 0.04984754, 0.1, 0.165386, -0.124168, 0.08304953, -0.9748502, 0, 0.1412474, 0.8783167, 0.08883768, 0.62, 0.00507774, 0.2168162, -0.3681453, -0.9041206, 0.03, 2.687281, 0.1875
2: place_cont_asyc_0_2_0, -0.07368173, 0.8939822, 0.0507431, 0.12, 0.1631934, -0.1209676, 0.08107289, -0.9757879, 0.02, 0.1423494, 0.8794761, 0.09054387, 0.65, 0.004433272, 0.210925, -0.3576394, -0.9097172, 0.06, 2.701371, 0.2125
2: place_cont_asyc_0_2_0, -0.07365873, 0.8939877, 0.05140129, 0.14, 0.16067, -0.1188633, 0.08066996, -0.9764984, 0.03, 0.1433112, 0.8803747, 0.09206125, 0.68, 0.003295235, 0.2056839, -0.3488751, -0.9143137, 0.09, 2.715143, 0.235
2: place_cont_asyc_0_2_0, -0.07362999, 0.8940255, 0.05166599, 0.15, 0.1590736, -0.1181772, 0.0795601, -0.9769341, 0.04, 0.1441541, 0.880964, 0.09340581, 0.7, 0.001824865, 0.2007716, -0.3423496, -0.9178695, 0.11, 2.729026, 0.25
2: place_cont_asyc_0_2_0, -0.07346518, 0.8940333, 0.05132276, 0.16, 0.1585584, -0.1208912, 0.07684268, -0.9769033, 0.06, 0.1447755, 0.8816211, 0.09447187, 0.72, 0.002029473, 0.196179, -0.3370543, -0.9208172, 0.13, 2.743104, 0.2675
2: place_cont_asyc_0_2_0, -0.07314003, 0.8940248, 0.05088449, 0.15, 0.1584535, -0.1237269, 0.0750186, -0.976707, 0.06, 0.1452583, 0.8825428, 0.09536874, 0.73, 0.0034458, 0.1920223, -0.3301214, -0.9241945, 0.15, 2.756796, 0.2725
2: place_cont_asyc_0_2_0, -0.07261311, 0.8939224, 0.05053419, 0.18, 0.1579209, -0.1263674, 0.07465636, -0.9764829, 0.12, 0.1457725, 0.8835537, 0.09626952, 0.73, 0.003800156, 0.1880215, -0.3226021, -0.9276645, 0.22, 2.77077, 0.3125
2: place_cont_asyc_0_2_0, -0.07195875, 0.8937296, 0.05025545, 0.17, 0.1575809, -0.127795, 0.076981, -0.9761715, 0.12, 0.1463016, 0.8847965, 0.09745181, 0.74, 0.005450372, 0.1808264, -0.3152364, -0.9316106, 0.26, 2.784547, 0.3225
2: place_cont_asyc_0_2_0, -0.07210749, 0.8937432, 0.05031192, 0.17, 0.1585041, -0.1262364, 0.07810633, -0.9761354, 0.13, 0.1468021, 0.8862277, 0.09874818, 0.74, 0.008934628, 0.171909, -0.3081852, -0.9356225, 0.29, 2.798562, 0.3325
2: place_cont_asyc_0_2_0, -0.07215347, 0.8938357, 0.05029899, 0.15, 0.1590546, -0.1257103, 0.07781408, -0.9761372, 0.14, 0.1472738, 0.8879315, 0.1001307, 0.74, 0.01233793, 0.1620641, -0.2998457, -0.9400402, 0.34, 2.812655, 0.3425
2: place_cont_asyc_0_2_0, -0.07177263, 0.8940989, 0.05003977, 0.13, 0.1594401, -0.1258386, 0.07610289, -0.9761928, 0.15, 0.14776, 0.8893256, 0.1012154, 0.74, 0.01317651, 0.1552294, -0.2905504, -0.9440926, 0.4, 2.826549, 0.355
2: place_cont_asyc_0_2_0, -0.07150744, 0.8942578, 0.049972, 0.08, 0.1585733, -0.1266523, 0.07468641, -0.976338, 0.19, 0.1480703, 0.8904622, 0.1018833, 0.72, 0.01158255, 0.1514908, -0.2803132, -0.9478086, 0.49, 2.840247, 0.37
2: place_cont_asyc_0_2_0, -0.07108875, 0.8943743, 0.05004013, 0.06, 0.1564629, -0.1281751, 0.07430472, -0.9765088, 0.21, 0.1480705, 0.891308, 0.1019649, 0.71, 0.01072099, 0.1510914, -0.2716669, -0.9503966, 0.52, 2.854204, 0.375
2: place_cont_asyc_0_2_0, -0.07061921, 0.8944135, 0.05014074, 0.04, 0.1553063, -0.1299421, 0.07562746, -0.9763584, 0.23, 0.1479405, 0.892049, 0.1019695, 0.68, 0.01157989, 0.1503478, -0.2658573, -0.9521457, 0.55, 2.86818, 0.375
2: place_cont_asyc_0_2_0, -0.06921639, 0.8953623, 0.05122745, 0.01, 0.1582705, -0.1293034, 0.08949385, -0.9747934, 0.22, 0.1474864, 0.8923646, 0.1015845, 0.63, 0.01172543, 0.1519724, -0.262934, -0.9526977, 0.53, 2.882023, 0.3475
