trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
1: place_cont_mir_0_0_0, -0.06027561, 0.9198257, 0.06401855, 0.01, 0.01811023, -0.1784297, -0.03681174, -0.9830971, 0.4, 0.07116298, 0.8765121, 0.04796988, 0.02, 0.03361346, -0.009719223, -0.007879195, -0.9993566, 0.45, 14.7014, 0.22
1: place_cont_mir_0_0_0, -0.06086407, 0.9192931, 0.06474507, 0.04, 0.01534029, -0.1795797, -0.03817886, -0.9828827, 0.41, 0.06996952, 0.8817275, 0.04797024, 0.03, 0.03713917, -0.01064717, -0.01090996, -0.9991939, 0.44, 14.71559, 0.23
1: place_cont_mir_0_0_0, -0.06163837, 0.9192579, 0.06520748, 0.06, 0.01458469, -0.1812623, -0.04393116, -0.9823449, 0.41, 0.06887411, 0.8870957, 0.04776973, 0.04, 0.04254662, -0.01048119, -0.01141901, -0.9989743, 0.43, 14.72943, 0.235
1: place_cont_mir_0_0_0, -0.06218743, 0.9195653, 0.06539106, 0.08, 0.01442937, -0.1857687, -0.05128048, -0.9811485, 0.42, 0.06789841, 0.8923681, 0.04737061, 0.03, 0.05055051, -0.009158365, -0.009343773, -0.9986359, 0.41, 14.74319, 0.235
1: place_cont_mir_0_0_0, -0.06232844, 0.9197409, 0.06559891, 0.11, 0.01301759, -0.1905351, -0.05597213, -0.9799971, 0.43, 0.06686148, 0.8972204, 0.04719543, 0.03, 0.05626352, -0.007991623, -0.009037906, -0.9983431, 0.41, 14.75708, 0.245
1: place_cont_mir_0_0_0, -0.06215332, 0.9197953, 0.06585228, 0.11, 0.01145342, -0.194848, -0.05787114, -0.9790578, 0.43, 0.06580105, 0.9016365, 0.04727596, 0.01, 0.05975546, -0.007062089, -0.01005325, -0.9981374, 0.4, 14.77079, 0.2375
1: place_cont_mir_0_0_0, -0.06164096, 0.9198034, 0.06621391, 0.2, 0.009947293, -0.1973308, -0.05648566, -0.978658, 0.48, 0.06483266, 0.9052806, 0.04761249, 0.05, 0.06103104, -0.00680948, -0.01225675, -0.9980374, 0.43, 14.78509, 0.29
1: place_cont_mir_0_0_0, -0.06106904, 0.9196738, 0.06685817, 0.2, 0.008559459, -0.1955101, -0.0515553, -0.9793082, 0.49, 0.0639784, 0.9087737, 0.04799515, 0.04, 0.06236413, -0.007718613, -0.01526265, -0.9979071, 0.42, 14.79889, 0.2875
1: place_cont_mir_0_0_0, -0.06062296, 0.9193652, 0.06775689, 0.23, 0.005760119, -0.1919029, -0.04453977, -0.9803859, 0.51, 0.06321742, 0.9121515, 0.04836684, 0.03, 0.0637313, -0.009129159, -0.01790971, -0.9977647, 0.42, 14.81297, 0.2975
1: place_cont_mir_0_0_0, -0.0603389, 0.9194571, 0.06822187, 0.23, 0.004444746, -0.1930423, -0.04290116, -0.9802422, 0.52, 0.06252865, 0.915023, 0.04874778, 0, 0.06439182, -0.01018629, -0.0206006, -0.9976602, 0.42, 14.82673, 0.2925
1: place_cont_mir_0_0_0, -0.06008081, 0.919836, 0.06824088, 0.23, 0.005476639, -0.1976815, -0.04415548, -0.9792561, 0.52, 0.05770098, 0.9226788, 0.0554021, 0.01, 0.07832608, -0.009831354, -0.05197675, -0.9955234, 0.36, 14.84054, 0.28
1: place_cont_mir_0_0_0, -0.05979833, 0.9201545, 0.06798691, 0.24, 0.006211642, -0.203278, -0.04403447, -0.9781108, 0.53, 0.0586256, 0.9224986, 0.05571771, 0.03, 0.07989029, -0.01165056, -0.05266525, -0.9953434, 0.37, 14.85447, 0.2925
1: place_cont_mir_0_0_0, -0.05967808, 0.9201618, 0.06773973, 0.23, 0.005697876, -0.207674, -0.04275949, -0.9772466, 0.52, 0.0592065, 0.9224856, 0.05585009, 0.03, 0.07993029, -0.01246158, -0.0515451, -0.9953889, 0.39, 14.86825, 0.2925
1: place_cont_mir_0_0_0, -0.05992619, 0.9198658, 0.06730539, 0.24, 0.004525975, -0.2109584, -0.04175995, -0.9765921, 0.53, 0.05956778, 0.9224603, 0.05588508, 0.04, 0.08013909, -0.01200226, -0.05048801, -0.995432, 0.41, 14.88248, 0.305
1: place_cont_mir_0_0_0, -0.0604354, 0.9193957, 0.06688899, 0.22, 0.003190328, -0.2130994, -0.04153461, -0.9761423, 0.52, 0.06011434, 0.9223462, 0.05593127, 0.02, 0.08079048, -0.01162454, -0.050319, -0.9953924, 0.43, 14.89632, 0.2975
1: place_cont_mir_0_0_0, -0.06119124, 0.9185669, 0.06660551, 0.2, -0.0001493433, -0.2135305, -0.04144345, -0.9760572, 0.52, 0.06088718, 0.922156, 0.05595958, 0, 0.08213248, -0.01209664, -0.05086847, -0.995249, 0.44, 14.9102, 0.29
1: place_cont_mir_0_0_0, -0.06207906, 0.9177208, 0.06638926, 0.2, -0.00252394, -0.2130651, -0.04352314, -0.976065, 0.54, 0.06180141, 0.9219162, 0.0558756, 0.01, 0.08376241, -0.01284594, -0.05165731, -0.9950632, 0.44, 14.9242, 0.2975
1: place_cont_mir_0_0_0, -0.06278404, 0.9169081, 0.06625313, 0.2, -0.003745961, -0.2116733, -0.0469835, -0.9762034, 0.57, 0.06225987, 0.921782, 0.05577117, 0, 0.08439243, -0.0131046, -0.05104954, -0.9950379, 0.43, 14.93801, 0.3
