trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1259247, 0.8974108, 0.5788992, 0.18, -0.1033347, -0.1495219, 0.3180086, 0.9305029, 0.01, 2.213927, 0.09500001
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1264901, 0.8975167, 0.5779161, 0.17, -0.1017948, -0.1511983, 0.310779, 0.9328416, 0.03, 2.228019, 0.1
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1268183, 0.8973119, 0.576931, 0.16, -0.1007862, -0.1518246, 0.3092538, 0.933356, 0.03, 2.241412, 0.095
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1269371, 0.8967529, 0.575902, 0.14, -0.1027566, -0.1508612, 0.3155845, 0.9311758, 0.01, 2.255509, 0.075
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1356513, 0.8852624, 0.5783405, 0.34, -0.09405824, -0.1561398, 0.3288634, 0.9266188, 0.01, 2.533985, 0.175
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1361797, 0.8834333, 0.5803871, 0.4, -0.09016015, -0.1566313, 0.322502, 0.9291556, 0.03, 2.548051, 0.215
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1367752, 0.8815805, 0.5827069, 0.45, -0.08341603, -0.1577927, 0.3135858, 0.9326345, 0.1, 2.561647, 0.275
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1372795, 0.8798704, 0.5849971, 0.5, -0.07962612, -0.1552909, 0.3097753, 0.934657, 0.14, 2.575568, 0.32
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1373979, 0.8785116, 0.586722, 0.54, -0.08039738, -0.1523426, 0.3100334, 0.9349906, 0.15, 2.58968, 0.345
6: offset_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1371171, 0.8774832, 0.5877187, 0.58, -0.084061, -0.1520542, 0.3122812, 0.9339667, 0.16, 2.60331, 0.37
