trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
1: place_cont_mir_0_0_0, -0.06322329, 0.8684865, 0.1294661, 0, -0.118561, 0.002230249, -0.07428303, 0.9901618, 0.16, 0.05555702, 0.9186843, 0.1162296, 0.01, 0.0049339, -0.1068105, -0.1475705, -0.9832549, 0.15, 16.24708, 0.08
1: place_cont_mir_0_0_0, -0.06239743, 0.8694274, 0.128576, 0.01, -0.1198748, 0.003924824, -0.07533885, 0.9899185, 0.16, 0.05658305, 0.9185428, 0.115949, 0.03, 0.003041881, -0.1049272, -0.1450957, -0.9838335, 0.16, 16.26108, 0.09
1: place_cont_mir_0_0_0, -0.06145755, 0.870294, 0.1276185, 0.03, -0.123933, 0.005267419, -0.07991187, 0.9890535, 0.14, 0.05768348, 0.9182687, 0.115799, 0.05, 0.0007045567, -0.1031533, -0.1414219, -0.9845602, 0.17, 16.27504, 0.0975
1: place_cont_mir_0_0_0, -0.06040273, 0.8711632, 0.1266292, 0.03, -0.1323179, 0.004045255, -0.08730398, 0.9873468, 0.11, 0.05873528, 0.9179028, 0.1157349, 0.08, -0.0003848299, -0.1030495, -0.1406996, -0.9846747, 0.17, 16.28887, 0.0975
1: place_cont_mir_0_0_0, -0.05959538, 0.8718408, 0.1260319, 0.03, -0.1362314, 0.003749616, -0.09163763, 0.9864227, 0.11, 0.05876615, 0.9175948, 0.1159661, 0.11, 0.0005155578, -0.1050393, -0.1437316, -0.9840263, 0.16, 16.30259, 0.1025
1: place_cont_mir_0_0_0, -0.05897117, 0.8723066, 0.1259316, 0.02, -0.1375147, 0.00363455, -0.09468661, 0.9859569, 0.1, 0.0603972, 0.9164888, 0.1159121, 0.13, 0.0009781187, -0.1064927, -0.1515513, -0.9826956, 0.14, 16.31662, 0.0975
1: place_cont_mir_0_0_0, -0.05863554, 0.8727775, 0.1260302, 0.01, -0.1366292, 0.001760133, -0.09486318, 0.9860682, 0.15, 0.06113464, 0.9159644, 0.1160642, 0.21, 0.002286826, -0.1079199, -0.1564892, -0.9817634, 0.16, 16.33069, 0.1325
1: place_cont_mir_0_0_0, -0.05843737, 0.8736916, 0.1265997, 0, -0.1286366, 0.00128708, -0.08711533, 0.9878572, 0.18, 0.06190398, 0.9157279, 0.1162952, 0.22, 0.00415511, -0.1083491, -0.1568355, -0.9816547, 0.16, 16.34431, 0.14
1: place_cont_mir_0_0_0, -0.05840153, 0.8743536, 0.1266854, 0.01, -0.126569, 0.0005915537, -0.0822341, 0.9885432, 0.2, 0.06262497, 0.9155455, 0.1165029, 0.24, 0.005323747, -0.1072103, -0.1554366, -0.9819966, 0.17, 16.35878, 0.155
1: place_cont_mir_0_0_0, -0.05818526, 0.8752567, 0.1263837, 0, -0.1275436, -0.0001416504, -0.07899042, 0.9886826, 0.21, 0.06247746, 0.915732, 0.1167096, 0.25, 0.004696238, -0.1065737, -0.1528992, -0.9824673, 0.18, 16.37247, 0.16
1: place_cont_mir_0_0_0, -0.05778909, 0.8762347, 0.1257744, 0.01, -0.1287513, 0.002266228, -0.07686317, 0.9886912, 0.22, 0.06269737, 0.9157265, 0.1168811, 0.28, 0.004326103, -0.1059652, -0.1522831, -0.9826305, 0.18, 16.38616, 0.1725
1: place_cont_mir_0_0_0, -0.05735632, 0.877093, 0.125177, 0.02, -0.1300187, 0.004735127, -0.07596385, 0.988586, 0.24, 0.06332826, 0.9157652, 0.1170419, 0.34, 0.005299306, -0.1059363, -0.1523466, -0.9826189, 0.19, 16.39989, 0.1975
1: place_cont_mir_0_0_0, -0.05678511, 0.8779134, 0.1243123, 0.03, -0.1339104, 0.006531261, -0.07845754, 0.9878612, 0.25, 0.0637842, 0.9158539, 0.11713, 0.36, 0.006305304, -0.1058925, -0.15282, -0.9825443, 0.21, 16.41398, 0.2125
1: place_cont_mir_0_0_0, -0.05675208, 0.8787426, 0.1237462, 0.04, -0.1344777, 0.006528415, -0.07589593, 0.9879844, 0.27, 0.06425835, 0.9160749, 0.1172148, 0.39, 0.007681, -0.1057849, -0.154233, -0.9823253, 0.22, 16.42795, 0.23
1: place_cont_mir_0_0_0, -0.05685601, 0.8797423, 0.1233242, 0.06, -0.1319098, 0.007294893, -0.07139097, 0.9886606, 0.3, 0.06462784, 0.9166163, 0.1171235, 0.43, 0.01005367, -0.1048291, -0.1536483, -0.9824979, 0.24, 16.44175, 0.2575
1: place_cont_mir_0_0_0, -0.05688041, 0.880759, 0.1227034, 0.06, -0.1296382, 0.008133546, -0.06924714, 0.989107, 0.32, 0.0649916, 0.9173113, 0.1167612, 0.46, 0.01252539, -0.1022683, -0.149983, -0.9833054, 0.26, 16.45603, 0.275
1: place_cont_mir_0_0_0, -0.05674661, 0.8815897, 0.1218939, 0.06, -0.1303465, 0.009710513, -0.06994236, 0.9889509, 0.33, 0.06530213, 0.9178526, 0.1164036, 0.5, 0.01288614, -0.1002066, -0.1467939, -0.9839941, 0.27, 16.46977, 0.29
1: place_cont_mir_0_0_0, -0.05658158, 0.8823219, 0.1209149, 0.07, -0.1339998, 0.01133148, -0.07410014, 0.9881422, 0.31, 0.06577463, 0.9182656, 0.1160416, 0.55, 0.01299752, -0.09906574, -0.1448095, -0.9844021, 0.26, 16.48347, 0.2975
1: place_cont_mir_0_0_0, -0.05648669, 0.8829832, 0.1199857, 0.09, -0.1384734, 0.01188608, -0.08005057, 0.9870541, 0.3, 0.06636781, 0.9185325, 0.1155702, 0.6, 0.01344922, -0.09881233, -0.1448044, -0.9844223, 0.27, 16.49754, 0.315
