trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
11: offset_key_asyc_0_0_0, -0.1032879, 0.8863199, 0.6390187, 0.01, 0.06586357, -0.05923259, 0.004708183, -0.9960579, 0.39, 0.1725502, 0.8718855, 0.6479064, 0.04, -0.048915, 0.02911776, -0.01868381, 0.9982036, 0.2, 5.55533, 0.16
11: offset_key_asyc_0_0_0, -0.1028381, 0.8853419, 0.637064, 0.05, 0.06749141, -0.06069926, 0.003966921, -0.9958639, 0.39, 0.1719891, 0.8719178, 0.6452645, 0.09, -0.05208762, 0.02538762, -0.02378711, 0.9980363, 0.19, 5.569394, 0.18
11: offset_key_asyc_0_0_0, -0.1024593, 0.8840899, 0.6352997, 0.07, 0.06822198, -0.06155347, 0.005449526, -0.9957546, 0.39, 0.1715224, 0.8718079, 0.6431264, 0.13, -0.05492162, 0.02756511, -0.02490882, 0.9977993, 0.18, 5.583348, 0.1925
11: offset_key_asyc_0_0_0, -0.1021558, 0.8828086, 0.6337827, 0.09, 0.06685881, -0.05960008, 0.007234312, -0.9959546, 0.39, 0.1707878, 0.8717291, 0.6414768, 0.17, -0.0552191, 0.03412638, -0.02224243, 0.9976431, 0.18, 5.59714, 0.2075
11: offset_key_asyc_0_0_0, -0.1019628, 0.881873, 0.6324714, 0.09, 0.06347664, -0.05572367, 0.007894272, -0.9963952, 0.41, 0.1694974, 0.8715923, 0.6399903, 0.22, -0.0540824, 0.03581296, -0.01587356, 0.9977678, 0.18, 5.611089, 0.225
11: offset_key_asyc_0_0_0, -0.1018988, 0.8812028, 0.6310252, 0.11, 0.06100946, -0.05431859, 0.006927009, -0.996634, 0.42, 0.1678964, 0.8713664, 0.6386981, 0.25, -0.05363268, 0.03450589, -0.006653376, 0.9979422, 0.2, 5.624798, 0.245
11: offset_key_asyc_0_0_0, -0.1022912, 0.88078, 0.6294739, 0.07, 0.06081327, -0.05261384, 0.003946128, -0.9967538, 0.47, 0.1660202, 0.8711437, 0.6375695, 0.29, -0.04951645, 0.03020081, 0.001987738, 0.9983147, 0.19, 5.638769, 0.255
11: offset_key_asyc_0_0_0, -0.1032185, 0.8804798, 0.6280438, 0.09, 0.06067201, -0.0489421, -0.0007174932, -0.9969569, 0.48, 0.1644506, 0.8711926, 0.6366519, 0.32, -0.04739156, 0.02431325, 0.008143112, 0.9985473, 0.2, 5.652624, 0.2725
11: offset_key_asyc_0_0_0, -0.1041302, 0.8802156, 0.6269323, 0.08, 0.05724272, -0.04512184, -0.006084755, -0.9973216, 0.5, 0.1634275, 0.8712717, 0.6358953, 0.33, -0.04587672, 0.02310424, 0.0100551, 0.9986292, 0.19, 5.666618, 0.275
11: offset_key_asyc_0_0_0, -0.1051326, 0.8801073, 0.6261066, 0.09, 0.05130521, -0.04418448, -0.0140687, -0.9976059, 0.53, 0.1628126, 0.871475, 0.6355205, 0.33, -0.04293269, 0.02651739, 0.01086919, 0.9986669, 0.18, 5.680471, 0.2825
11: offset_key_asyc_0_0_0, -0.1059958, 0.8801809, 0.6253396, 0.09, 0.04641571, -0.04568913, -0.02399532, -0.9975882, 0.55, 0.1623677, 0.8720833, 0.6357601, 0.3, -0.04061311, 0.03063007, 0.01388877, 0.9986088, 0.15, 5.694379, 0.2725
11: offset_key_asyc_0_0_0, -0.1067292, 0.8805667, 0.6246289, 0.08, 0.04078239, -0.04514448, -0.03426361, -0.9975594, 0.58, 0.1618202, 0.8727559, 0.6359881, 0.24, -0.03993602, 0.0347176, 0.01985721, 0.9984015, 0.09, 5.708189, 0.2475
11: offset_key_asyc_0_0_0, -0.1071683, 0.8812314, 0.6240189, 0.09, 0.03577008, -0.04419815, -0.04364298, -0.9974279, 0.6, 0.1613697, 0.8736824, 0.6368518, 0.2, -0.03668874, 0.04255323, 0.02998665, 0.99797, 0.07, 5.722208, 0.24
11: offset_key_asyc_0_0_0, -0.1072537, 0.8819948, 0.6235753, 0.1, 0.028604, -0.04335542, -0.05241836, -0.9972736, 0.62, 0.1608504, 0.874778, 0.6379559, 0.15, -0.02673309, 0.04898717, 0.03920853, 0.9976714, 0.05, 5.736156, 0.23
