trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
5: place_key_asyc_0_3_2, -0.09421275, 0.8428124, 0.08388452, 0.03, 0.06816113, 0.07852309, 0.1006032, 0.9894783, 0.77, 0.1212921, 0.8500227, 0.07503246, 0.01, -0.06527299, -0.06005141, 0.04562831, 0.9950132, 0.29, 1.141674, 0.275
5: place_key_asyc_0_3_2, -0.09405614, 0.8448969, 0.08425875, 0.07, 0.0687487, 0.08215272, 0.1066136, 0.9885131, 0.76, 0.1216814, 0.8516018, 0.07561181, 0.04, -0.0663222, -0.06048846, 0.0476636, 0.9948221, 0.29, 1.156064, 0.29
5: place_key_asyc_0_3_2, -0.09361539, 0.8461637, 0.08458231, 0.09, 0.07185109, 0.08518233, 0.1082331, 0.9878598, 0.76, 0.1221943, 0.8530955, 0.07627644, 0.06, -0.06584147, -0.06130082, 0.04704572, 0.9948336, 0.29, 1.16994, 0.3
5: place_key_asyc_0_3_2, -0.09289817, 0.846131, 0.08493225, 0.08, 0.07717373, 0.08740038, 0.1032108, 0.9878021, 0.78, 0.1227575, 0.8540652, 0.07698257, 0.09, -0.06479786, -0.06104896, 0.04479186, 0.9950215, 0.29, 1.183663, 0.31
5: place_key_asyc_0_3_2, -0.09237447, 0.8461571, 0.08549805, 0.06, 0.0828729, 0.08712545, 0.09585843, 0.9881055, 0.82, 0.1228366, 0.8536183, 0.0772426, 0.09, -0.06448167, -0.05962514, 0.04393592, 0.9951667, 0.28, 1.19727, 0.3125
5: place_key_asyc_0_3_2, -0.09211725, 0.8460288, 0.08613725, 0.06, 0.08850303, 0.08581389, 0.08944104, 0.9883338, 0.84, 0.1236557, 0.8555145, 0.07876004, 0.13, -0.06427841, -0.05701059, 0.04615259, 0.9952326, 0.29, 1.211576, 0.33
5: place_key_asyc_0_3_2, -0.09551141, 0.8486285, 0.08858524, 0.01, 0.09490009, 0.08604378, 0.1190837, 0.9845861, 0.78, 0.1236596, 0.8554586, 0.079466, 0.15, -0.06423348, -0.05537452, 0.04992616, 0.9951459, 0.27, 1.225269, 0.3025
5: place_key_asyc_0_3_2, -0.0957453, 0.8499665, 0.08904852, 0.04, 0.09296081, 0.08658329, 0.1179639, 0.9848585, 0.78, 0.1235467, 0.8552108, 0.08002363, 0.16, -0.06389737, -0.05542157, 0.05306445, 0.9950024, 0.27, 1.239233, 0.3125
5: place_key_asyc_0_3_2, -0.09602007, 0.8514619, 0.08966903, 0.04, 0.09034079, 0.08716511, 0.1164208, 0.9852346, 0.77, 0.1232161, 0.8544438, 0.08042704, 0.15, -0.06235326, -0.05690716, 0.05504082, 0.9949092, 0.28, 1.252805, 0.31
5: place_key_asyc_0_3_2, -0.09644996, 0.8532963, 0.09059288, 0.05, 0.08622278, 0.08705679, 0.1144951, 0.9858386, 0.77, 0.1228929, 0.8538974, 0.08072065, 0.16, -0.06042922, -0.05967343, 0.056756, 0.9947695, 0.28, 1.266876, 0.315
5: place_key_asyc_0_3_2, -0.0970423, 0.8549683, 0.09171419, 0.05, 0.08379327, 0.08611974, 0.1145808, 0.9861204, 0.78, 0.1225147, 0.8534569, 0.08074157, 0.17, -0.06043479, -0.06386103, 0.058289, 0.9944205, 0.27, 1.281129, 0.3175
5: place_key_asyc_0_3_2, -0.09788008, 0.8566405, 0.09322847, 0.01, 0.08311547, 0.08367552, 0.116118, 0.9862084, 0.75, 0.1225495, 0.8533322, 0.08096065, 0.22, -0.06117176, -0.06435616, 0.05871626, 0.9943182, 0.23, 1.294644, 0.3025
5: place_key_asyc_0_3_2, -0.09870815, 0.8581867, 0.09460492, 0.01, 0.08357133, 0.08158519, 0.1190647, 0.9859936, 0.72, 0.1228275, 0.8534188, 0.0812058, 0.25, -0.06038582, -0.06235447, 0.05682436, 0.9946038, 0.21, 1.308466, 0.2975
5: place_key_asyc_0_3_2, -0.100156, 0.8612248, 0.09690924, 0.02, 0.08584271, 0.0809829, 0.1277303, 0.9847629, 0.67, 0.1230482, 0.8535709, 0.08149959, 0.29, -0.05959736, -0.06120033, 0.05577282, 0.9947824, 0.18, 1.322588, 0.29
5: place_key_asyc_0_3_2, -0.1005631, 0.8626334, 0.09752516, 0.02, 0.08669797, 0.08145687, 0.130752, 0.9842521, 0.65, 0.1233399, 0.8539531, 0.08194588, 0.36, -0.05917925, -0.06042334, 0.05478227, 0.99491, 0.12, 1.336361, 0.2875
5: place_key_asyc_0_3_2, -0.1006922, 0.8640196, 0.09794028, 0, 0.0868715, 0.082985, 0.1314579, 0.9840151, 0.65, 0.1236611, 0.8558971, 0.08253382, 0.43, -0.06142722, -0.06158992, 0.0571796, 0.9945671, 0, 1.364054, 0.27
5: place_key_asyc_0_3_2, -0.1001919, 0.8671439, 0.09868316, 0.01, 0.08434442, 0.08457515, 0.1214274, 0.9853876, 0.68, 0.1182293, 0.8782629, 0.07550015, 0.72, -0.07892709, -0.08935423, 0.1224608, 0.9852867, 0.01, 1.796179, 0.355
5: place_key_asyc_0_3_2, -0.09978636, 0.8692837, 0.0998445, 0.01, 0.08574131, 0.08174823, 0.1135303, 0.9864464, 0.7, 0.11542, 0.8836902, 0.07500671, 0.76, -0.08206655, -0.1026227, 0.1696503, 0.976705, 0.01, 1.893614, 0.37
5: place_key_asyc_0_3_2, -0.100079, 0.8714191, 0.1001837, 0.02, 0.08610107, 0.08469591, 0.1199848, 0.985402, 0.65, 0.1408317, 0.9038478, 0.1053136, 0.27, -0.09951543, -0.1200631, 0.2465088, 0.956512, 0, 2.923397, 0.235
5: place_key_asyc_0_3_2, -0.1001844, 0.8731267, 0.1004693, 0.07, 0.08643093, 0.08813481, 0.1243297, 0.9845324, 0.59, 0.1412851, 0.9026711, 0.1055526, 0.4, -0.09912924, -0.1218715, 0.2451701, 0.9566675, 0.04, 2.937942, 0.275
5: place_key_asyc_0_3_2, -0.1001256, 0.8745043, 0.100615, 0.09, 0.08603836, 0.0899003, 0.1253319, 0.9842802, 0.55, 0.141771, 0.9014992, 0.1056946, 0.34, -0.09878412, -0.1241909, 0.2425836, 0.957064, 0.03, 2.951934, 0.2525
