trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
8: offset_cont_asyc_0_3_1, -0.08179589, 0.8437228, 0.606753, 0.01, 0.156296, 0.11069, 0.1335532, 0.9723595, 0.72, 0.1474531, 0.8763096, 0.6558741, 0.02, -0.1756253, 0.2120337, -0.08876809, -0.9572449, 0.56, 1.099946, 0.3275
8: offset_cont_asyc_0_3_1, -0.08110392, 0.8467345, 0.6063733, 0.07, 0.1605627, 0.1157161, 0.1337507, 0.971051, 0.7, 0.1468487, 0.8770194, 0.6544896, 0.05, -0.1757194, 0.2138483, -0.0880613, -0.9568892, 0.56, 1.113798, 0.345
8: offset_cont_asyc_0_3_1, -0.08038832, 0.8495443, 0.6057653, 0.12, 0.1657938, 0.1199913, 0.1308749, 0.9700445, 0.69, 0.1460392, 0.8775975, 0.6530389, 0.07, -0.1750831, 0.2159179, -0.08836915, -0.9565126, 0.55, 1.127821, 0.3575
8: offset_cont_asyc_0_3_1, -0.07956745, 0.8521866, 0.6051265, 0.16, 0.1705054, 0.1254065, 0.1281468, 0.9689064, 0.68, 0.1453312, 0.8782384, 0.6516988, 0.1, -0.173687, 0.217136, -0.08991376, -0.9563474, 0.55, 1.141734, 0.3725
8: offset_cont_asyc_0_3_1, -0.078536, 0.8545616, 0.6036932, 0.19, 0.1745613, 0.1334457, 0.1233716, 0.9677293, 0.67, 0.1446255, 0.8788537, 0.6503769, 0.12, -0.1724896, 0.2184217, -0.0913657, -0.9561337, 0.54, 1.155861, 0.38
8: offset_cont_asyc_0_3_1, -0.07749969, 0.8568636, 0.6024936, 0.23, 0.1785487, 0.1412354, 0.1198065, 0.9663433, 0.66, 0.1439734, 0.8794562, 0.6491103, 0.15, -0.1714416, 0.2194941, -0.09227446, -0.9559893, 0.54, 1.169422, 0.395
8: offset_cont_asyc_0_3_1, -0.07647386, 0.8585643, 0.6007234, 0.2, 0.1842718, 0.150425, 0.1181107, 0.9640882, 0.62, 0.1434171, 0.8800755, 0.6478944, 0.16, -0.1700941, 0.2196565, -0.09348273, -0.9560753, 0.56, 1.183469, 0.385
8: offset_cont_asyc_0_3_1, -0.0758852, 0.8601115, 0.5991499, 0.23, 0.1921427, 0.15926, 0.1198093, 0.9609179, 0.59, 0.1427839, 0.8807414, 0.6466662, 0.18, -0.1685358, 0.220168, -0.09494562, -0.9560896, 0.56, 1.197247, 0.39
8: offset_cont_asyc_0_3_1, -0.07600617, 0.8613039, 0.5975797, 0.25, 0.1985471, 0.1665155, 0.1243888, 0.9577991, 0.55, 0.1420886, 0.8814461, 0.6453848, 0.2, -0.1676902, 0.2213052, -0.09567227, -0.9559032, 0.56, 1.211234, 0.39
8: offset_cont_asyc_0_3_1, -0.07659025, 0.8624364, 0.5962198, 0.25, 0.2019542, 0.1687177, 0.1257748, 0.9565195, 0.53, 0.1413175, 0.8822488, 0.6440145, 0.22, -0.1675433, 0.2236306, -0.0950866, -0.9554461, 0.56, 1.225154, 0.39
