trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1483822, 0.8586511, 0.06181164, 0.03, -0.03377149, -0.003893472, -0.1902842, -0.9811404, 0.53, 1.76809, 0.28
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1488003, 0.8599856, 0.06292923, 0.06, -0.03444787, -0.005067177, -0.1905123, -0.9810671, 0.54, 1.782273, 0.3
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1490963, 0.8612185, 0.06401838, 0.09, -0.03501403, -0.006175816, -0.1925509, -0.9806427, 0.53, 1.795964, 0.31
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1490642, 0.8621956, 0.06504552, 0.11, -0.03501152, -0.006241061, -0.195678, -0.9800232, 0.53, 1.809885, 0.32
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1487201, 0.8629173, 0.06598064, 0.14, -0.03474047, -0.004801318, -0.1995952, -0.9792507, 0.53, 1.823693, 0.335
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1485185, 0.8637469, 0.06696822, 0.16, -0.03457415, -0.003500566, -0.2020205, -0.9787647, 0.52, 1.837706, 0.34
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1482008, 0.8644705, 0.06796475, 0.19, -0.03369641, -0.001762196, -0.2030146, -0.9785942, 0.53, 1.851634, 0.36
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.148034, 0.8649885, 0.06905986, 0.22, -0.03468855, -0.001355223, -0.2019503, -0.9787803, 0.54, 1.86544, 0.38
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1479346, 0.8653814, 0.07022016, 0.24, -0.03698226, -0.001496598, -0.201084, -0.9788745, 0.55, 1.879654, 0.395
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1477747, 0.8655386, 0.07139312, 0.28, -0.03989112, -0.001270637, -0.2008019, -0.9788186, 0.55, 1.893523, 0.415
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1474925, 0.8657344, 0.07242313, 0.32, -0.04115606, -0.0002361834, -0.2016103, -0.9786007, 0.54, 1.907387, 0.43
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1472264, 0.8660085, 0.07335962, 0.36, -0.04031597, 0.0007379875, -0.2020539, -0.978544, 0.51, 1.921191, 0.435
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1469662, 0.8662835, 0.07426298, 0.4, -0.03922517, 0.001094051, -0.2041602, -0.9781507, 0.49, 1.935166, 0.445
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1466686, 0.8664892, 0.07516886, 0.43, -0.03768858, 0.0004486442, -0.208266, -0.9773457, 0.45, 1.949117, 0.44
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1463402, 0.8666392, 0.07599591, 0.48, -0.03659754, -7.269531E-05, -0.2135418, -0.9762483, 0.34, 1.962931, 0.41
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1460445, 0.8667468, 0.07686128, 0.47, -0.0363681, 0.0003167689, -0.2174259, -0.9753991, 0.14, 1.977192, 0.305
0: place_cont_uni_0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1458042, 0.8669975, 0.07770896, 0.38, -0.03618247, 0.0001769736, -0.2189584, -0.9750632, 0.03, 1.990895, 0.205
