trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
7: offset_cont_mir_0_0_0, -0.09995285, 0.9041771, 0.5459012, 0.01, 0.08780658, 0.04577621, 0.09453541, 0.9905846, 0.86, 0.07522073, 0.8591613, 0.5551745, 0, 0.00581731, -0.05910119, 0.03443018, 0.9976411, 0.52, 6.955766, 0.3475
7: offset_cont_mir_0_0_0, -0.09909248, 0.9017907, 0.5477257, 0.06, 0.09414956, 0.04689506, 0.09384914, 0.9900147, 0.87, 0.07554927, 0.8585556, 0.5562357, 0.01, 0.004263112, -0.05769853, 0.03510637, 0.9977075, 0.52, 6.97002, 0.365
7: offset_cont_mir_0_0_0, -0.09824273, 0.8992263, 0.5495662, 0.11, 0.100487, 0.04853237, 0.09483133, 0.989219, 0.89, 0.0758768, 0.8580123, 0.5573269, 0.02, 0.002856582, -0.05629884, 0.03521419, 0.9977887, 0.52, 6.983695, 0.385
7: offset_cont_mir_0_0_0, -0.09734732, 0.8965198, 0.5514455, 0.16, 0.1061586, 0.04943574, 0.09713732, 0.9883577, 0.9, 0.07620391, 0.8574523, 0.5585308, 0.03, 0.002544325, -0.05516807, 0.03424681, 0.9978864, 0.53, 6.997381, 0.405
7: offset_cont_mir_0_0_0, -0.09637132, 0.8938301, 0.5532381, 0.21, 0.1112028, 0.05176007, 0.09977799, 0.9874204, 0.9, 0.0765219, 0.8569314, 0.5598214, 0.03, 0.0025515, -0.05399721, 0.03356692, 0.9979735, 0.54, 7.011353, 0.42
7: offset_cont_mir_0_0_0, -0.09525573, 0.891019, 0.5549978, 0.26, 0.1170079, 0.05527805, 0.1019683, 0.9863346, 0.9, 0.07687151, 0.8564277, 0.5611687, 0.04, 0.002479217, -0.05268445, 0.03351074, 0.9980457, 0.54, 7.025315, 0.435
7: offset_cont_mir_0_0_0, -0.09411374, 0.8880381, 0.5567273, 0.28, 0.1225165, 0.05754665, 0.1026933, 0.9854604, 0.84, 0.07720539, 0.8560399, 0.5625582, 0.01, 0.002621152, -0.05115743, 0.03443312, 0.9980934, 0.6, 7.039042, 0.4325
7: offset_cont_mir_0_0_0, -0.09290165, 0.8850251, 0.5584495, 0.3, 0.1267723, 0.0579764, 0.1014737, 0.9850231, 0.83, 0.07751435, 0.8557034, 0.5638964, 0.02, 0.002715654, -0.04964826, 0.0354383, 0.9981342, 0.6, 7.053146, 0.4375
7: offset_cont_mir_0_0_0, -0.0916777, 0.8820635, 0.5601519, 0.3, 0.129922, 0.05755116, 0.09836724, 0.9849528, 0.82, 0.07776642, 0.8555509, 0.5652082, 0.02, 0.002693363, -0.04835139, 0.0362293, 0.9981695, 0.61, 7.06721, 0.4375
7: offset_cont_mir_0_0_0, -0.09053728, 0.8790069, 0.5618552, 0.28, 0.1318099, 0.05464841, 0.09218042, 0.9854656, 0.83, 0.07838452, 0.8556202, 0.567868, 0.01, 0.001255848, -0.0459568, 0.03694302, 0.9982594, 0.61, 7.080708, 0.4325
7: offset_cont_mir_0_0_0, -0.08951136, 0.8760296, 0.5635526, 0.24, 0.1338206, 0.05096683, 0.08554347, 0.9859902, 0.83, 0.07922563, 0.8560058, 0.5707011, 0.01, 0.001005408, -0.04343409, 0.03720822, 0.9983627, 0.61, 7.094703, 0.4225
7: offset_cont_mir_0_0_0, -0.08853725, 0.8731801, 0.5652492, 0.16, 0.1361731, 0.04793891, 0.07908215, 0.9863594, 0.8, 0.08177271, 0.8579997, 0.5742971, 0, -0.001560154, -0.03555884, 0.03430703, 0.9987774, 0.63, 7.108625, 0.3975
7: offset_cont_mir_0_0_0, -0.0876894, 0.8705607, 0.5669237, 0.12, 0.1384773, 0.04573092, 0.07356264, 0.9865705, 0.78, 0.08224905, 0.8589142, 0.574816, 0, -0.002415846, -0.03478334, 0.03282759, 0.9988527, 0.65, 7.122486, 0.3875
7: offset_cont_mir_0_0_0, -0.08711126, 0.8682963, 0.5684895, 0.06, 0.140076, 0.04356185, 0.06898732, 0.9867734, 0.77, 0.08276039, 0.8609526, 0.5755758, 0, -0.002936093, -0.03553535, 0.03055771, 0.9988968, 0.67, 7.13626, 0.375
7: offset_cont_mir_0_0_0, -0.08875346, 0.8637992, 0.5761319, 0, 0.1409751, 0.02914928, 0.06120032, 0.9876897, 0.74, 0.08260322, 0.8642226, 0.5756421, 0.01, -0.005379161, -0.03810553, 0.03320703, 0.9987074, 0.68, 7.233681, 0.3575
7: offset_cont_mir_0_0_0, -0.08897153, 0.8660671, 0.5778235, 0, 0.1378098, 0.0277257, 0.05404223, 0.9885947, 0.76, 0.0823161, 0.8671918, 0.5752391, 0, -0.008843202, -0.03868499, 0.0351566, 0.9985936, 0.69, 7.275102, 0.3625
7: offset_cont_mir_0_0_0, -0.08914366, 0.8697267, 0.5786356, 0.01, 0.138047, 0.03150919, 0.06092456, 0.9880478, 0.74, 0.08113471, 0.8712835, 0.5739537, 0, -0.01233114, -0.04179297, 0.03510427, 0.9984333, 0.69, 7.316892, 0.36
7: offset_cont_mir_0_0_0, -0.08930635, 0.8732788, 0.5791424, 0.04, 0.1342954, 0.02997766, 0.06043769, 0.9886423, 0.72, 0.0794203, 0.8756887, 0.5722388, 0.01, -0.01778629, -0.04424252, 0.03768527, 0.9981514, 0.67, 7.344595, 0.36
7: offset_cont_mir_0_0_0, -0.08924669, 0.8751052, 0.5791094, 0.03, 0.131001, 0.02782383, 0.05773164, 0.9893087, 0.71, 0.07831156, 0.8785942, 0.5710611, 0, -0.02150175, -0.04481346, 0.04074164, 0.9979326, 0.67, 7.358488, 0.3525
7: offset_cont_mir_0_0_0, -0.0890142, 0.876923, 0.5790082, 0.06, 0.1289066, 0.02674831, 0.05529732, 0.9897524, 0.69, 0.07774076, 0.8800285, 0.5702974, 0.01, -0.02316138, -0.04576793, 0.04163474, 0.9978153, 0.68, 7.3724, 0.36
7: offset_cont_mir_0_0_0, -0.08859685, 0.8789191, 0.5786188, 0.07, 0.1262843, 0.02779402, 0.05448964, 0.9901065, 0.67, 0.07686904, 0.8826338, 0.5686753, 0, -0.02516362, -0.04749354, 0.04138361, 0.9976966, 0.69, 7.386373, 0.3575
7: offset_cont_mir_0_0_0, -0.08825308, 0.8807768, 0.5781313, 0.03, 0.1237959, 0.02884696, 0.05526525, 0.9903476, 0.62, 0.05532312, 0.8931637, 0.5751162, 0.04, 0.1272373, -0.2269431, -0.1095469, 0.9593263, 0.36, 7.400152, 0.2625
