trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
11: offset_key_asyc_0_5_0, -0.09798696, 0.920881, 0.554927, 0.02, 0.1429599, -0.07583241, 0.04968128, -0.9855677, 0.13, 0.1530188, 0.9177494, 0.5796895, 0.02, 0.04082901, 0.08218024, -0.03456837, -0.9951806, 0.34, 1.211852, 0.1275
11: offset_key_asyc_0_5_0, -0.09797951, 0.9203398, 0.5612503, 0.12, 0.1379036, -0.07952271, 0.04522553, -0.9862117, 0.15, 0.1525455, 0.9174154, 0.5857522, 0.09, 0.03929983, 0.07247071, -0.04765901, -0.9954557, 0.36, 1.22606, 0.18
11: offset_key_asyc_0_5_0, -0.09833802, 0.9197386, 0.5674849, 0.21, 0.1293477, -0.08278123, 0.03847791, -0.9873885, 0.18, 0.152932, 0.9166896, 0.5913687, 0.15, 0.02622883, 0.07082129, -0.04079182, -0.9963094, 0.39, 1.239681, 0.2325
11: offset_key_asyc_0_5_0, -0.09890999, 0.9187665, 0.572819, 0.29, 0.1261733, -0.08157559, 0.03831951, -0.9879056, 0.19, 0.1530987, 0.9160411, 0.5966957, 0.18, 0.01289435, 0.07364186, -0.03186601, -0.9966921, 0.41, 1.253659, 0.2675
11: offset_key_asyc_0_5_0, -0.09856723, 0.9166738, 0.5773103, 0.39, 0.1275105, -0.06802744, 0.06464277, -0.9873878, 0.17, 0.1529341, 0.915112, 0.6013381, 0.21, 0.003526102, 0.07628146, -0.02885427, -0.9966626, 0.42, 1.267545, 0.2975
11: offset_key_asyc_0_5_0, -0.0974927, 0.914235, 0.5821058, 0.48, 0.1221481, -0.06028654, 0.09265517, -0.9863368, 0.15, 0.1522863, 0.913533, 0.6055789, 0.26, -0.004073038, 0.07612889, -0.03676999, -0.9964115, 0.45, 1.281111, 0.335
11: offset_key_asyc_0_5_0, -0.09627211, 0.9114212, 0.5858153, 0.6, 0.1160387, -0.0563095, 0.1183608, -0.9845583, 0.18, 0.151317, 0.91124, 0.6090363, 0.29, -0.01377735, 0.07184108, -0.05104122, -0.996014, 0.47, 1.295207, 0.385
11: offset_key_asyc_0_5_0, -0.09558587, 0.9095059, 0.5894869, 0.65, 0.1117518, -0.05571545, 0.1306345, -0.9835355, 0.17, 0.1505679, 0.9098401, 0.6120285, 0.32, -0.01833826, 0.07101307, -0.05624679, -0.9957194, 0.49, 1.309054, 0.4075
11: offset_key_asyc_0_5_0, -0.09532758, 0.9078434, 0.5920988, 0.67, 0.1043964, -0.06351504, 0.1259868, -0.9844769, 0.21, 0.1499683, 0.908919, 0.6144121, 0.32, -0.0219017, 0.07397221, -0.05365311, -0.9955752, 0.48, 1.322688, 0.42
11: offset_key_asyc_0_5_0, -0.09531993, 0.9062205, 0.5950258, 0.71, 0.09340377, -0.07098715, 0.1158427, -0.986315, 0.27, 0.1495208, 0.9079195, 0.6164882, 0.34, -0.0290836, 0.07878216, -0.04762904, -0.9953286, 0.48, 1.336746, 0.45
11: offset_key_asyc_0_5_0, -0.09532987, 0.9046806, 0.5976273, 0.72, 0.08563311, -0.07661535, 0.107551, -0.9875373, 0.3, 0.1491016, 0.9067854, 0.6184945, 0.34, -0.03607704, 0.08232228, -0.04499935, -0.9949355, 0.47, 1.350641, 0.4575
11: offset_key_asyc_0_5_0, -0.09534515, 0.9032198, 0.599879, 0.72, 0.08100063, -0.07895729, 0.1043662, -0.9880852, 0.35, 0.1486271, 0.9054742, 0.6197728, 0.33, -0.04034746, 0.08481408, -0.04947997, -0.9943493, 0.43, 1.3644, 0.4575
11: offset_key_asyc_0_5_0, -0.09522948, 0.9015754, 0.6019195, 0.7, 0.07539707, -0.07996787, 0.1074442, -0.9881175, 0.38, 0.1481987, 0.9039322, 0.6212191, 0.34, -0.04547848, 0.08634619, -0.05569668, -0.9936669, 0.42, 1.378488, 0.46
11: offset_key_asyc_0_5_0, -0.09522564, 0.9000861, 0.6037588, 0.66, 0.07101806, -0.07871246, 0.1145661, -0.9877425, 0.4, 0.1478916, 0.9024779, 0.6227861, 0.32, -0.0510894, 0.08484896, -0.05957085, -0.9932985, 0.4, 1.392356, 0.445
11: offset_key_asyc_0_5_0, -0.09529778, 0.898918, 0.605581, 0.64, 0.06979747, -0.0766147, 0.1217644, -0.9871332, 0.41, 0.1477365, 0.901275, 0.6241869, 0.24, -0.05675219, 0.08338077, -0.05800237, -0.9932082, 0.34, 1.406279, 0.4075
11: offset_key_asyc_0_5_0, -0.09543737, 0.89785, 0.607435, 0.61, 0.06785018, -0.073823, 0.1275934, -0.9867455, 0.41, 0.1476071, 0.9002025, 0.625306, 0.1, -0.06130782, 0.08471394, -0.05419318, -0.9930398, 0.21, 1.419995, 0.3325
11: offset_key_asyc_0_5_0, -0.09573487, 0.8968952, 0.6092539, 0.54, 0.06460405, -0.07252288, 0.1273349, -0.987093, 0.43, 0.1544439, 0.8862458, 0.621824, 0.01, -0.0827684, 0.0813771, -0.06734364, -0.9909551, 0.13, 1.656386, 0.2775
11: offset_key_asyc_0_5_0, -0.0960737, 0.8959867, 0.6108793, 0.48, 0.0595872, -0.07428093, 0.1233625, -0.9877821, 0.45, 0.1543969, 0.8875164, 0.6162723, 0.01, -0.08310647, 0.08941447, -0.07655249, -0.9895647, 0.06, 1.726664, 0.25
11: offset_key_asyc_0_5_0, -0.09642651, 0.8953152, 0.6121719, 0.45, 0.0568485, -0.07670154, 0.1193174, -0.9882553, 0.49, 0.1527064, 0.8910828, 0.6090279, 0.05, -0.0883726, 0.1078631, -0.08389728, -0.9866697, 0.01, 1.795871, 0.25
11: offset_key_asyc_0_5_0, -0.09668928, 0.8947861, 0.6132051, 0.46, 0.056359, -0.07803054, 0.118195, -0.9883142, 0.52, 0.1521015, 0.8919613, 0.6073877, 0.17, -0.08752095, 0.1119465, -0.08911967, -0.9858326, 0.08, 1.810578, 0.3075
11: offset_key_asyc_0_5_0, -0.09689226, 0.8941208, 0.6143994, 0.44, 0.05511368, -0.07733623, 0.1190537, -0.9883358, 0.55, 0.1513699, 0.8930635, 0.6055235, 0.15, -0.08537792, 0.1176635, -0.09476946, -0.9848272, 0.08, 1.824314, 0.305
11: offset_key_asyc_0_5_0, -0.09712072, 0.8933295, 0.6154292, 0.41, 0.05425353, -0.0754485, 0.1216399, -0.9882144, 0.58, 0.1498473, 0.8962088, 0.6003776, 0.01, -0.08659291, 0.1330652, -0.1031505, -0.9819142, 0.04, 1.865621, 0.26
11: offset_key_asyc_0_5_0, -0.09734441, 0.89242, 0.6164396, 0.39, 0.05255382, -0.07338553, 0.1240752, -0.9881589, 0.59, 0.1490227, 0.8984476, 0.597234, 0, -0.08686952, 0.141727, -0.1113805, -0.9797763, 0.04, 1.893422, 0.255
11: offset_key_asyc_0_5_0, -0.09752215, 0.8914412, 0.6172204, 0.35, 0.04902162, -0.07293741, 0.1255431, -0.9881883, 0.6, 0.1481283, 0.9055877, 0.5917664, 0.01, -0.07787585, 0.151111, -0.1205143, -0.9780476, 0.04, 1.949165, 0.25
