trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
8: offset_cont_asyc_0_2_0, -0.1163173, 0.8505448, 0.5918096, 0.03, 0.1580744, -0.02155828, 0.05738279, -0.9855227, 0.09, 0.1345805, 0.8395969, 0.6359305, 0.01, 0.03126747, 0.07686874, 0.09552757, 0.9919617, 0.42, 1.336579, 0.1375
8: offset_cont_asyc_0_2_0, -0.09303248, 0.845674, 0.6057594, 0.06, 0.005175285, -0.1210174, 0.1426115, -0.9823391, 0.23, 0.1380812, 0.8437802, 0.63468, 0.11, 0.03090919, 0.07316598, 0.0956151, 0.9922445, 0.43, 2.269356, 0.2075
8: offset_cont_asyc_0_2_0, -0.09200275, 0.8485997, 0.6039506, 0.12, 0.007423392, -0.1257424, 0.1534025, -0.9801028, 0.21, 0.1410807, 0.8481229, 0.6330792, 0.2, 0.02774646, 0.06838199, 0.09938321, 0.992309, 0.44, 2.283358, 0.2425
8: offset_cont_asyc_0_2_0, -0.09092882, 0.8517273, 0.6017934, 0.19, 0.01212095, -0.1306051, 0.1624152, -0.9779656, 0.18, 0.1436526, 0.8523316, 0.631299, 0.3, 0.02505438, 0.06401633, 0.107372, 0.9918395, 0.44, 2.297311, 0.2775
8: offset_cont_asyc_0_2_0, -0.08994693, 0.8549179, 0.5997121, 0.23, 0.01704103, -0.1367213, 0.1689798, -0.975942, 0.16, 0.1459485, 0.8564927, 0.6294696, 0.4, 0.02137011, 0.06007035, 0.1178498, 0.9909825, 0.45, 2.311183, 0.31
8: offset_cont_asyc_0_2_0, -0.08912188, 0.8581462, 0.5974934, 0.3, 0.02461403, -0.1419412, 0.1716016, -0.9745767, 0.14, 0.1481565, 0.8605858, 0.6274747, 0.48, 0.01724702, 0.05713931, 0.1298715, 0.9897328, 0.44, 2.325173, 0.34
8: offset_cont_asyc_0_2_0, -0.08840729, 0.8610933, 0.5955253, 0.28, 0.03147859, -0.1428794, 0.1741839, -0.9737837, 0.2, 0.1501322, 0.8645629, 0.6253488, 0.56, 0.01438174, 0.05376964, 0.1413278, 0.9883969, 0.42, 2.338956, 0.365
8: offset_cont_asyc_0_2_0, -0.08743733, 0.8637158, 0.5937448, 0.33, 0.036698, -0.1456517, 0.178769, -0.9723582, 0.19, 0.1519016, 0.8686125, 0.623332, 0.63, 0.01335278, 0.04925367, 0.1502439, 0.9873311, 0.43, 2.352921, 0.395
8: offset_cont_asyc_0_2_0, -0.08626492, 0.8656646, 0.5920436, 0.36, 0.04005616, -0.1484634, 0.1846415, -0.9707017, 0.18, 0.1530555, 0.8729033, 0.6210204, 0.69, 0.0126263, 0.04381755, 0.1566551, 0.9866002, 0.43, 2.367017, 0.415
8: offset_cont_asyc_0_2_0, -0.08515715, 0.8675088, 0.5904264, 0.37, 0.04220342, -0.1509529, 0.190401, -0.9691128, 0.17, 0.1541641, 0.8771978, 0.618672, 0.72, 0.01207737, 0.03704399, 0.1621194, 0.9860017, 0.43, 2.380563, 0.4225
8: offset_cont_asyc_0_2_0, -0.08398138, 0.8691524, 0.5888999, 0.37, 0.04277845, -0.1528605, 0.1950412, -0.967865, 0.17, 0.1544103, 0.8814852, 0.6156338, 0.72, 0.01286654, 0.02593668, 0.1656403, 0.9857612, 0.43, 2.394783, 0.4225
8: offset_cont_asyc_0_2_0, -0.08289936, 0.8708691, 0.5872303, 0.33, 0.04290798, -0.154536, 0.1964852, -0.967301, 0.2, 0.1542887, 0.885576, 0.6124234, 0.67, 0.01200304, 0.01552827, 0.1731289, 0.9847036, 0.41, 2.408667, 0.4025
8: offset_cont_asyc_0_2_0, -0.08179699, 0.8726294, 0.5854369, 0.33, 0.04103716, -0.1588772, 0.1941399, -0.9671524, 0.23, 0.1537111, 0.889406, 0.6090288, 0.65, 0.009857192, 0.005225878, 0.1855729, 0.9825672, 0.41, 2.422441, 0.405
8: offset_cont_asyc_0_2_0, -0.08055332, 0.8744317, 0.5835052, 0.31, 0.03644823, -0.1665491, 0.1890986, -0.9670443, 0.26, 0.1521872, 0.8927552, 0.6052951, 0.61, 0.006768454, -0.006650053, 0.2016548, 0.9794108, 0.41, 2.436349, 0.3975
8: offset_cont_asyc_0_2_0, -0.07917105, 0.8763896, 0.5813956, 0.28, 0.0328018, -0.1736796, 0.1839519, -0.9669132, 0.29, 0.1507277, 0.8960002, 0.6016625, 0.54, 0.004914544, -0.01815516, 0.2156971, 0.9762791, 0.34, 2.450347, 0.3625
8: offset_cont_asyc_0_2_0, -0.07773764, 0.8784087, 0.5791289, 0.23, 0.03076611, -0.1803875, 0.1793574, -0.9666151, 0.29, 0.1489667, 0.8986413, 0.5978699, 0.45, 0.006541366, -0.03207671, 0.2276276, 0.9731978, 0.19, 2.464715, 0.29
8: offset_cont_asyc_0_2_0, -0.07646868, 0.8804496, 0.5767775, 0.18, 0.02983963, -0.1865727, 0.1766766, -0.9659636, 0.3, 0.1470011, 0.9007568, 0.5940475, 0.44, 0.009615751, -0.04534096, 0.239565, 0.9697734, 0.12, 2.478026, 0.26
8: offset_cont_asyc_0_2_0, -0.07516682, 0.8825879, 0.5742955, 0.14, 0.03017937, -0.1915864, 0.1746482, -0.9653403, 0.32, 0.145218, 0.9028978, 0.5903926, 0.44, 0.01086413, -0.05627837, 0.2520064, 0.9660267, 0.08, 2.492273, 0.245
8: offset_cont_asyc_0_2_0, -0.07382035, 0.884854, 0.5717316, 0.1, 0.03265198, -0.1954153, 0.1739216, -0.9646233, 0.33, 0.1432573, 0.9048305, 0.5868337, 0.46, 0.01034605, -0.06550313, 0.2654743, 0.9618345, 0.04, 2.505956, 0.2325
8: offset_cont_asyc_0_2_0, -0.07243623, 0.8871384, 0.5691198, 0.07, 0.03489021, -0.1988807, 0.173384, -0.9639332, 0.35, 0.1414691, 0.9069293, 0.5834651, 0.62, 0.01014108, -0.07402574, 0.273675, 0.9589158, 0.09, 2.519686, 0.2825
8: offset_cont_asyc_0_2_0, -0.07104488, 0.8895435, 0.566611, 0.03, 0.03475665, -0.2025771, 0.1714801, -0.9635088, 0.38, 0.1399386, 0.90899, 0.5802518, 0.61, 0.01061458, -0.08214678, 0.2793322, 0.9566153, 0.09, 2.533744, 0.2775
8: offset_cont_asyc_0_2_0, -0.04243435, 0.9214717, 0.5767589, 0, -0.05919996, -0.2427643, 0.01535119, -0.9681556, 0.53, 0.1385665, 0.9109103, 0.5772359, 0.45, 0.01035486, -0.08794952, 0.2865611, 0.9539604, 0.01, 2.923807, 0.2475
8: offset_cont_asyc_0_2_0, -0.04131252, 0.921184, 0.5796083, 0.02, -0.05757874, -0.2423418, 0.01857836, -0.9683027, 0.54, 0.1372891, 0.9126279, 0.5743345, 0.41, 0.008423078, -0.09190185, 0.2965829, 0.9505376, 0.01, 2.937763, 0.245
8: offset_cont_asyc_0_2_0, -0.04007046, 0.9205049, 0.5827161, 0.05, -0.05881567, -0.2409661, 0.02190498, -0.968502, 0.55, 0.1348121, 0.9157556, 0.5689005, 0.33, 0.00715111, -0.09959498, 0.3119348, 0.944842, 0.01, 2.951605, 0.235
8: offset_cont_asyc_0_2_0, -0.03902348, 0.9196781, 0.5861993, 0.1, -0.06557921, -0.2395827, 0.02050079, -0.9684417, 0.58, 0.1336187, 0.9176871, 0.5661731, 0.2, 0.006495457, -0.1048718, 0.3150958, 0.9432256, 0, 2.965531, 0.22
8: offset_cont_asyc_0_2_0, -0.03853807, 0.9183149, 0.590086, 0.17, -0.07838184, -0.240197, 0.01141897, -0.9674871, 0.59, 0.1303106, 0.9252788, 0.5577378, 0.13, 0.01159541, -0.1199037, 0.3074586, 0.9439057, 0.01, 2.979396, 0.225
8: offset_cont_asyc_0_2_0, -0.03831673, 0.9170392, 0.5936551, 0.24, -0.08894358, -0.2395078, 0.004020118, -0.9668035, 0.59, 0.12879, 0.9275606, 0.5549287, 0.01, 0.01147027, -0.126186, 0.310809, 0.941989, 0, 2.993274, 0.21
8: offset_cont_asyc_0_2_0, -0.03818964, 0.9155225, 0.5970106, 0.31, -0.09725019, -0.2353651, 0.003074003, -0.9670244, 0.6, 0.1212584, 0.9326387, 0.5593709, 0.05, 0.01322309, -0.1275948, 0.3073368, 0.942915, 0.01, 3.007215, 0.2425
8: offset_cont_asyc_0_2_0, -0.03801955, 0.9146996, 0.5999225, 0.37, -0.0990276, -0.2292241, 0.005370142, -0.9683083, 0.63, 0.1136149, 0.9731374, 0.5964706, 0.62, 0.0235859, -0.1282277, 0.2927558, 0.9472568, 0.01, 3.021039, 0.4075
8: offset_cont_asyc_0_2_0, -0.03828124, 0.9143131, 0.6024224, 0.43, -0.09790003, -0.2245058, 0.004055311, -0.969534, 0.65, 0.1123961, 0.975394, 0.5956076, 0.6, 0.03154647, -0.1339739, 0.2846043, 0.9487129, 0, 3.035272, 0.42
8: offset_cont_asyc_0_2_0, -0.038895, 0.9140936, 0.6046007, 0.48, -0.09821431, -0.2199381, 0.002063122, -0.970555, 0.66, 0.1108393, 0.9775782, 0.5945282, 0.57, 0.03449056, -0.1397247, 0.2796299, 0.9492601, 0.01, 3.049055, 0.43
8: offset_cont_asyc_0_2_0, -0.03992051, 0.9142708, 0.6060168, 0.52, -0.09976644, -0.2123792, 0.001669199, -0.9720798, 0.68, 0.1090241, 0.9796848, 0.5933257, 0.52, 0.03219329, -0.1427558, 0.2790164, 0.9490702, 0.04, 3.062856, 0.44
8: offset_cont_asyc_0_2_0, -0.04094699, 0.9148353, 0.6068649, 0.55, -0.09820107, -0.2059568, 0.001267237, -0.9736205, 0.69, 0.1068797, 0.9814681, 0.5918553, 0.46, 0.02844351, -0.1457102, 0.2824067, 0.9477373, 0.06, 3.076939, 0.44
8: offset_cont_asyc_0_2_0, -0.04221883, 0.9160333, 0.6065879, 0.57, -0.0933454, -0.1994426, 0.001949791, -0.9754514, 0.69, 0.1047944, 0.9830596, 0.5903855, 0.38, 0.0252158, -0.1497207, 0.2872178, 0.9457557, 0.08, 3.090854, 0.43
8: offset_cont_asyc_0_2_0, -0.04324621, 0.9174213, 0.6057838, 0.58, -0.08957721, -0.1959107, 0.001347071, -0.9765209, 0.69, 0.1025978, 0.9844725, 0.5888613, 0.3, 0.01993896, -0.152463, 0.294909, 0.9430727, 0.08, 3.104792, 0.4125
8: offset_cont_asyc_0_2_0, -0.0441674, 0.9193285, 0.6034032, 0.58, -0.08628961, -0.1998611, -0.001129847, -0.9760166, 0.68, 0.1004453, 0.9861419, 0.5875206, 0.21, 0.01497815, -0.1549458, 0.299806, 0.9412141, 0.11, 3.118551, 0.395
8: offset_cont_asyc_0_2_0, -0.04492695, 0.921215, 0.6008025, 0.58, -0.0830193, -0.2060867, -0.005050232, -0.9749926, 0.67, 0.09841071, 0.9878763, 0.5863038, 0.12, 0.01303098, -0.1587501, 0.3012306, 0.9401535, 0.14, 3.13288, 0.3775
8: offset_cont_asyc_0_2_0, -0.04568747, 0.9232163, 0.5980484, 0.56, -0.07957393, -0.2114572, -0.009602322, -0.9740953, 0.64, 0.09652078, 0.9895262, 0.5854567, 0.05, 0.01683209, -0.1633678, 0.2972939, 0.9405552, 0.22, 3.146477, 0.3675
